condition,seed,basin,negative_day_fraction,maximum_deficit_mm,nse_decline
zero_L365,11,03364500,1.0,187.1007843017578,0.5753720998764038
zero_L365,11,11230500,0.10460021905805038,6.678121566772461,0.014999747276306152
zero_L365,11,11151300,0.9882256297918949,7.445209503173828,6.704425156116486
zero_L365,11,07208500,0.9997261774370209,52.624210357666016,2.250958025455475
zero_L365,11,12092000,0.9778203723986857,6.73350715637207,-0.00610661506652832
zero_L365,11,06350000,0.9997261774370209,8.953094482421875,1.7502625584602356
zero_L365,11,11475560,0.8365279299014239,126.45750427246094,-0.004510223865509033
zero_L365,11,08190500,1.0,13.702296257019043,33.82180857658386
zero_L365,11,11522500,0.44605695509309967,19.75161361694336,0.027504324913024902
zero_L365,11,12383500,0.458105147864184,6.412558555603027,-0.0834970474243164
zero_L365,11,12035000,1.0,15.475057601928711,0.013386726379394531
zero_L365,11,09404450,0.9422234392113911,6.808544635772705,7.26777857542038
zero_L365,11,02300700,1.0,78.79802703857422,0.6006430387496948
zero_L365,11,06280300,0.33433734939759036,5.1596150398254395,-0.005289673805236816
zero_L365,11,09513780,0.9824753559693319,7.660618305206299,0.2688800096511841
zero_L365,11,03455500,0.9789156626506024,17.119155883789062,0.24360036849975586
zero_L365,11,09047700,0.6130887185104053,25.360624313354492,5.241536498069763
zero_L365,11,12411000,0.5221796276013143,53.575748443603516,0.04754006862640381
zero_L365,11,14138870,1.0,61.62149429321289,0.0778501033782959
zero_L365,11,01434025,0.9972617743702081,7.42497444152832,0.11275672912597656
zero_L365,11,08158810,0.9972617743702081,113.8087387084961,0.2990179657936096
zero_L365,11,02363000,1.0,239.44735717773438,1.37766695022583
zero_L365,11,10259000,0.8132530120481928,9.261990547180176,0.1756495237350464
zero_L365,11,04024430,1.0,116.47269439697266,1.2385984659194946
zero_L365,29,03364500,0.9997261774370209,110.33526611328125,0.8559039831161499
zero_L365,29,11230500,0.009857612267250822,8.19221305847168,0.0005959272384643555
zero_L365,29,11151300,0.9260679079956189,5.594930648803711,0.5679571628570557
zero_L365,29,07208500,1.0,8.342028617858887,4.8475969433784485
zero_L365,29,12092000,1.0,13.000219345092773,-0.024217069149017334
zero_L365,29,06350000,1.0,121.90979766845703,3.952534556388855
zero_L365,29,11475560,1.0,129.69573974609375,-0.019830048084259033
zero_L365,29,08190500,1.0,30.911832809448242,9.965790867805481
zero_L365,29,11522500,0.3877327491785323,42.68950653076172,0.016548991203308105
zero_L365,29,12383500,0.014512595837897043,2.2827939987182617,-0.009371638298034668
zero_L365,29,12035000,1.0,133.58680725097656,0.021187007427215576
zero_L365,29,09404450,0.9526286966046003,49.090145111083984,-0.17230772972106934
zero_L365,29,02300700,1.0,59.222660064697266,0.9795607328414917
zero_L365,29,06280300,0.5958378970427163,9.25656509399414,0.06218385696411133
zero_L365,29,09513780,0.9671412924424972,7.752683162689209,0.020148813724517822
zero_L365,29,03455500,0.8984118291347207,165.96055603027344,0.5866053104400635
zero_L365,29,09047700,1.0,35.7568244934082,2.6425048112869263
zero_L365,29,12411000,1.0,272.7508239746094,0.2540115714073181
zero_L365,29,14138870,1.0,147.45928955078125,0.15698182582855225
zero_L365,29,01434025,0.9906900328587076,122.10809326171875,0.3233233690261841
zero_L365,29,08158810,0.9909638554216867,64.56886291503906,0.5327993035316467
zero_L365,29,02363000,0.9975355969331873,232.23294067382812,2.2976526021957397
zero_L365,29,10259000,0.3600766703176342,3.7259514331817627,-0.02259504795074463
zero_L365,29,04024430,1.0,33.065277099609375,2.0898386240005493
zero_L365,47,03364500,1.0,187.2075653076172,0.6959752440452576
zero_L365,47,11230500,0.08433734939759036,7.872968673706055,0.004320383071899414
zero_L365,47,11151300,1.0,18.975156784057617,11.585238456726074
